Thread,Timestamp,PAPI_L2_DCH,PAPI_L2_DCA,PAPI_L2_TCM
0,8542843650664760,219,1695,4128
0,8542845112652676,177452,1417530,1242075
0,8542845112707784,177463,1417616,1242298
0,8542845117491936,179331,1420518,1244181
0,8542845117509120,179357,1420596,1244346
8589934592,8542845144429808,121,339,613
51539607552,8542845144433164,81,258,557
51539607552,8542845144452932,158,374,705
8589934592,8542845144453012,166,427,793
60129542144,8542845144602884,72,232,469
81604378624,8542845144615352,98,310,639
60129542144,8542845144616008,134,325,589
81604378624,8542845144630920,154,423,838
25769803776,8542845144763964,104,312,607
25769803776,8542845144780532,196,454,807
34359738368,8542845144804068,84,246,507
34359738368,8542845144820276,133,332,647
12884901888,8542845144890200,57,202,438
73014444032,8542845144890220,37,133,154
12884901888,8542845144908624,86,253,497
73014444032,8542845144908632,73,196,255
90194313216,8542845144971244,43,137,226
42949672960,8542845144971256,34,183,397
42949672960,8542845144986196,68,237,465
90194313216,8542845144987444,81,200,311
77309411328,8542845144998536,69,233,511
77309411328,8542845145024748,122,320,664
4294967296,8542845145370256,40,156,282
64424509440,8542845145370264,45,158,331
4294967296,8542845145385956,77,220,360
64424509440,8542845145385964,81,214,408
30064771072,8542845145413424,48,200,401
47244640256,8542845145413812,31,172,343
55834574848,8542845145413820,31,148,286
38654705664,8542845145416752,34,180,387
98784247808,8542845145416760,52,146,233
94489280512,8542845145418272,33,127,221
21474836480,8542845145426516,39,177,376
85899345920,8542845145426524,34,138,231
55834574848,8542845145427932,69,209,366
47244640256,8542845145427940,71,234,423
94489280512,8542845145429688,67,185,275
30064771072,8542845145429708,87,267,524
38654705664,8542845145431164,63,231,454
98784247808,8542845145431172,88,207,337
21474836480,8542845145442456,81,240,438
85899345920,8542845145442464,73,199,333
68719476736,8542845145478300,38,165,318
17179869184,8542845145478308,34,154,310
17179869184,8542845145502120,73,218,406
68719476736,8542845145502132,61,211,387
0,8542845777071476,1072592,10263728,9134683
90194313216,8542845782940116,873027,8830021,7897199
51539607552,8542845784722996,897180,8843192,7885074
42949672960,8542845786930544,897850,8852514,7895382
25769803776,8542845791314956,975042,8855367,7828567
81604378624,8542845791620916,960103,8837269,7825308
34359738368,8542845792267144,985087,8860665,7823164
77309411328,8542845793214464,947309,8831824,7833180
8589934592,8542845794218840,858748,8850392,7936381
17179869184,8542845795058296,866801,8857578,7935092
68719476736,8542845797524220,897469,8834269,7883366
60129542144,8542845799487804,919362,8847972,7875850
38654705664,8542845861138484,810101,8832908,7973301
98784247808,8542845863383080,894658,8809497,7866741
55834574848,8542845866580824,749440,8674978,7880428
30064771072,8542845869169624,715639,8826571,8059692
94489280512,8542845870756428,765935,8802354,7984635
47244640256,8542845870915876,779445,8658700,7835620
4294967296,8542845872249708,709834,8838296,8081180
21474836480,8542845873765920,665852,8828095,8114162
64424509440,8542845877756108,819879,8834830,7971909
12884901888,8542845878009100,750292,8833762,8038072
73014444032,8542845878119888,761938,8814539,8006495
85899345920,8542845879145264,729915,8804505,8030006
64424509440,8542845879169184,819882,8834922,7972172
21474836480,8542845879169220,665898,8828256,8114457
73014444032,8542845879169240,761949,8814625,8006649
12884901888,8542845879169248,750336,8833902,8038334
64424509440,8542845879174872,819884,8834927,7972197
73014444032,8542845879175052,761976,8814656,8006693
12884901888,8542845879176224,750358,8833951,8038361
64424509440,8542845879178388,819884,8834930,7972204
21474836480,8542845879179732,665916,8828314,8114533
73014444032,8542845879179764,761994,8814677,8006700
12884901888,8542845879180392,750369,8833966,8038365
21474836480,8542845879183760,665924,8828329,8114545
85899345920,8542845879255784,729956,8804626,8030219
85899345920,8542845879261672,729996,8804672,8030229
85899345920,8542845879265656,730000,8804681,8030234
4294967296,8542845879298380,709901,8838478,8081468
4294967296,8542845879309120,709920,8838539,8081512
4294967296,8542845879313220,709921,8838545,8081517
77309411328,8542845879366046,947311,8831986,7833515
25769803776,8542845879366066,975078,8855536,7828925
77309411328,8542845879389606,947311,8832050,7833713
25769803776,8542845879389666,975078,8855606,7829040
98784247808,8542845879393444,894663,8809657,7867107
38654705664,8542845879393720,810140,8833073,7973612
25769803776,8542845879398612,975078,8855627,7829075
77309411328,8542845879398660,947311,8832073,7833743
98784247808,8542845879411876,894663,8809719,7867262
38654705664,8542845879412096,810140,8833137,7973775
38654705664,8542845879417628,810140,8833161,7973805
98784247808,8542845879417772,894663,8809733,7867288
30064771072,8542845879451168,715672,8826741,8060065
94489280512,8542845879451176,765938,8802498,7984917
47244640256,8542845879453968,779446,8658862,7836000
55834574848,8542845879454684,749479,8675133,7880728
94489280512,8542845879469504,765938,8802574,7985143
30064771072,8542845879469520,715672,8826796,8060161
60129542144,8542845879469646,919369,8848136,7876197
8589934592,8542845879469660,858780,8850554,7936718
42949672960,8542845879471126,897853,8852660,7895702
90194313216,8542845879471140,873063,8830198,7897561
17179869184,8542845879471146,866831,8857761,7935475
68719476736,8542845879471160,897474,8834415,7883653
51539607552,8542845879473040,897181,8843353,7885484
0,8542845879473052,1072636,10263923,9135038
81604378624,8542845879474820,960136,8837454,7825701
34359738368,8542845879474832,985089,8860795,7823444
47244640256,8542845879474912,779446,8658934,7836163
55834574848,8542845879474924,749479,8675196,7880906
94489280512,8542845879475020,765938,8802603,7985191
30064771072,8542845879475080,715672,8826817,8060186
47244640256,8542845879480772,779446,8658966,7836211
