"name","run.no.in.std.order","run.no","run.no.std.rp","governors","threads","time","cpuenergy"
"1","3",1,"3.1",powersave,16,4701.73,2.83124313750000023e-02
"2","6",2,"6.1",performance,32,4032.30,2.38730753281249999e-02
"3","2",3,"2.1",performance,1,21254.72,1.86892806593749988e-01
"4","5",4,"5.1",powersave,32,4072.45,6.15113035781250025e-02
"5","1",5,"1.1",powersave,1,21117.63,1.87266724203125012e-01
"6","4",6,"4.1",performance,16,4766.28,2.13937441875000009e-02
"7","6",7,"6.2",performance,32,4103.47,2.34271069062500017e-02
"8","1",8,"1.2",powersave,1,21200.84,1.87006362593750003e-01
"9","3",9,"3.2",powersave,16,5092.49,2.72728822343750003e-02
"10","2",10,"2.2",performance,1,21165.22,1.89191521421875009e-01
"11","4",11,"4.2",performance,16,4988.54,2.31304039375000020e-02
"12","5",12,"5.2",powersave,32,4066.94,2.34599419687500019e-02
"13","4",13,"4.3",performance,16,5156.25,2.62369500468750023e-02
"14","3",14,"3.3",powersave,16,5236.37,2.68673527656250015e-02
"15","5",15,"5.3",powersave,32,4034.88,2.59666123906250011e-02
"16","2",16,"2.3",performance,1,21427.43,1.86888315578124992e-01
"17","6",17,"6.3",performance,32,4031.72,2.40142307500000006e-02
"18","1",18,"1.3",powersave,1,21312.16,1.87047136718750007e-01
"19","1",19,"1.4",powersave,1,21315.31,1.87208058515624998e-01
"20","2",20,"2.4",performance,1,21157.89,1.87150360015624989e-01
"21","4",21,"4.4",performance,16,5131.23,2.47156548124999979e-02
"22","6",22,"6.4",performance,32,4059.79,2.49155075468750001e-02
"23","3",23,"3.4",powersave,16,4848.21,2.90510882656250004e-02
"24","5",24,"5.4",powersave,32,4037.20,2.70930366562499962e-02
"25","5",25,"5.5",powersave,32,4030.77,2.47749990468749993e-02
"26","3",26,"3.5",powersave,16,5086.77,2.68103548437499985e-02
"27","4",27,"4.5",performance,16,5161.10,2.60446719687500022e-02
"28","2",28,"2.5",performance,1,21174.71,1.86831591140625003e-01
"29","6",29,"6.5",performance,32,4037.17,2.80736669687500009e-02
"30","1",30,"1.5",powersave,1,21572.02,1.87260218171874993e-01
"31","5",31,"5.6",powersave,32,4056.45,2.39327478124999986e-02
"32","1",32,"1.6",powersave,1,21294.09,1.87702797843749991e-01
"33","4",33,"4.6",performance,16,5097.31,2.34349304843750016e-02
"34","6",34,"6.6",performance,32,4072.17,2.44625873281250003e-02
"35","3",35,"3.6",powersave,16,5238.93,2.78153944843749987e-02
"36","2",36,"2.6",performance,1,21288.50,1.87315776125000000e-01
"37","1",37,"1.7",powersave,1,21210.79,1.87268841749999998e-01
"38","4",38,"4.7",performance,16,5051.94,2.72021422968749989e-02
"39","2",39,"2.7",performance,1,21270.42,1.87354579281249989e-01
"40","5",40,"5.7",powersave,32,4051.63,2.65569917031249977e-02
"41","6",41,"6.7",performance,32,4066.43,2.35362072812499989e-02
"42","3",42,"3.7",powersave,16,4782.40,2.70818239687499983e-02
"43","6",43,"6.8",performance,32,4039.40,2.74561154531250025e-02
"44","5",44,"5.8",powersave,32,4068.33,2.92740493906249975e-02
"45","3",45,"3.8",powersave,16,4796.66,2.78707398750000016e-02
"46","2",46,"2.8",performance,1,21238.00,1.86709269031249986e-01
"47","4",47,"4.8",performance,16,4839.70,2.54786790781250001e-02
"48","1",48,"1.8",powersave,1,21197.11,1.87483164843749994e-01
"49","4",49,"4.9",performance,16,5257.29,2.40881279374999986e-02
"50","3",50,"3.9",powersave,16,5192.13,2.29479977812499965e-02
"51","2",51,"2.9",performance,1,21237.47,1.86612211218749990e-01
"52","5",52,"5.9",powersave,32,4034.68,2.51152314531250011e-02
"53","6",53,"6.9",performance,32,4049.40,2.56477762187499979e-02
"54","1",54,"1.9",powersave,1,21277.17,1.86840739750000012e-01
"55","5",55,"5.10",powersave,32,4524.80,2.28838814062499972e-02
"56","1",56,"1.10",powersave,1,21311.17,1.86667110937499992e-01
"57","2",57,"2.10",performance,1,21138.72,1.86200905000000000e-01
"58","3",58,"3.10",powersave,16,5016.27,2.76765738749999990e-02
"59","4",59,"4.10",performance,16,5206.03,2.31188704375000012e-02
"60","6",60,"6.10",performance,32,4078.52,2.65832441562500014e-02
"61","3",61,"3.11",powersave,16,5163.22,2.63221988593750032e-02
"62","1",62,"1.11",powersave,1,21070.94,1.87690732406250005e-01
"63","4",63,"4.11",performance,16,4890.55,2.28495740312500001e-02
"64","6",64,"6.11",performance,32,4031.38,2.37623370312499971e-02
"65","2",65,"2.11",performance,1,21342.11,1.86575047562499985e-01
"66","5",66,"5.11",powersave,32,4007.09,2.67083942343750019e-02
"67","6",67,"6.12",performance,32,4001.95,2.34766767968749984e-02
"68","5",68,"5.12",powersave,32,4106.88,2.33601002187499990e-02
"69","1",69,"1.12",powersave,1,21242.46,1.86614707734374996e-01
"70","3",70,"3.12",powersave,16,4715.11,2.71110990468750000e-02
"71","4",71,"4.12",performance,16,4995.91,2.15837099843749977e-02
"72","2",72,"2.12",performance,1,21329.98,1.86369756593749991e-01
"73","2",73,"2.13",performance,1,21129.14,1.86630040500000011e-01
"74","3",74,"3.13",powersave,16,5007.20,2.55246246250000024e-02
"75","5",75,"5.13",powersave,32,4057.41,2.96580520468749977e-02
"76","4",76,"4.13",performance,16,5040.59,2.74354889062499996e-02
"77","6",77,"6.13",performance,32,4053.67,2.22627506874999992e-02
"78","1",78,"1.13",powersave,1,21165.48,1.87317119312500002e-01
"79","5",79,"5.14",powersave,32,4001.35,2.83794610156249995e-02
"80","3",80,"3.14",powersave,16,5147.34,2.57481096875000030e-02
"81","6",81,"6.14",performance,32,4022.47,2.09169286718749979e-02
"82","1",82,"1.14",powersave,1,21399.45,1.86950263437499986e-01
"83","4",83,"4.14",performance,16,5145.89,2.50575942031249985e-02
"84","2",84,"2.14",performance,1,21009.82,1.87041635703124987e-01
"85","1",85,"1.15",powersave,1,21361.53,1.86984520187500003e-01
"86","2",86,"2.15",performance,1,21241.07,1.86717931046875008e-01
"87","3",87,"3.15",powersave,16,4766.03,2.67851335312500015e-02
"88","5",88,"5.15",powersave,32,4015.85,2.38179235156250023e-02
"89","4",89,"4.15",performance,16,5176.88,2.52954043437500012e-02
"90","6",90,"6.15",performance,32,4039.32,2.22344348281250000e-02
"91","4",91,"4.16",performance,16,4783.63,2.60806879687499986e-02
"92","3",92,"3.16",powersave,16,4666.99,2.64976381093749991e-02
"93","5",93,"5.16",powersave,32,4060.32,2.30972695781249994e-02
"94","6",94,"6.16",performance,32,4037.15,2.33661041562500012e-02
"95","2",95,"2.16",performance,1,21209.27,1.87097121312500003e-01
"96","1",96,"1.16",powersave,1,21230.54,1.86164634859374983e-01
"97","5",97,"5.17",powersave,32,4019.31,2.25319131093750027e-02
"98","2",98,"2.17",performance,1,21209.38,1.86681142296874991e-01
"99","4",99,"4.17",performance,16,4993.47,2.36777527499999960e-02
"100","1",100,"1.17",powersave,1,21338.59,1.86857895484375008e-01
"101","3",101,"3.17",powersave,16,5178.06,2.57036223125000005e-02
"102","6",102,"6.17",performance,32,4070.64,2.43386231875000018e-02
"103","2",103,"2.18",performance,1,21235.74,1.86904314749999995e-01
"104","5",104,"5.18",powersave,32,4096.20,2.43781736718749961e-02
"105","6",105,"6.18",performance,32,4048.57,5.09851455156249966e-02
"106","1",106,"1.18",powersave,1,21233.17,1.87806106765625008e-01
"107","4",107,"4.18",performance,16,4512.29,2.69330262968750025e-02
"108","3",108,"3.18",powersave,16,4852.25,2.67496814218750011e-02
"109","2",109,"2.19",performance,1,21210.96,1.86392608999999987e-01
"110","1",110,"1.19",powersave,1,21184.54,1.87258292109375002e-01
"111","5",111,"5.19",powersave,32,4036.38,2.60733254687499985e-02
"112","4",112,"4.19",performance,16,5133.74,2.55960110937499992e-02
"113","3",113,"3.19",powersave,16,5251.10,2.76220538906249979e-02
"114","6",114,"6.19",performance,32,4030.63,2.39398297812499980e-02
"115","5",115,"5.20",powersave,32,4019.22,2.52494886718750006e-02
"116","3",116,"3.20",powersave,16,4613.59,2.58592314687500005e-02
"117","1",117,"1.20",powersave,1,21374.13,1.87860260093750009e-01
