"name","run.no.in.std.order","run.no","run.no.std.rp","versions","threads","timeWithoutLikwid","timeWithLikwid"
"1","4",1,"4.1","ft.B","16","",""
"2","9",2,"9.1","lu.B","32","",""
"3","2",3,"2.1","cg.B","1","",""
"4","5",4,"5.1","cg.B","16","",""
"5","7",5,"7.1","ft.B","32","",""
"6","6",6,"6.1","lu.B","16","",""
"7","3",7,"3.1","lu.B","1","",""
"8","1",8,"1.1","ft.B","1","",""
"9","8",9,"8.1","cg.B","32","",""
"10","6",10,"6.2","lu.B","16","",""
"11","7",11,"7.2","ft.B","32","",""
"12","8",12,"8.2","cg.B","32","",""
"13","4",13,"4.2","ft.B","16","",""
"14","3",14,"3.2","lu.B","1","",""
"15","5",15,"5.2","cg.B","16","",""
"16","2",16,"2.2","cg.B","1","",""
"17","9",17,"9.2","lu.B","32","",""
"18","1",18,"1.2","ft.B","1","",""
"19","2",19,"2.3","cg.B","1","",""
"20","9",20,"9.3","lu.B","32","",""
"21","6",21,"6.3","lu.B","16","",""
"22","1",22,"1.3","ft.B","1","",""
"23","3",23,"3.3","lu.B","1","",""
"24","4",24,"4.3","ft.B","16","",""
"25","5",25,"5.3","cg.B","16","",""
"26","7",26,"7.3","ft.B","32","",""
"27","8",27,"8.3","cg.B","32","",""
"28","6",28,"6.4","lu.B","16","",""
"29","7",29,"7.4","ft.B","32","",""
"30","5",30,"5.4","cg.B","16","",""
"31","8",31,"8.4","cg.B","32","",""
"32","1",32,"1.4","ft.B","1","",""
"33","4",33,"4.4","ft.B","16","",""
"34","9",34,"9.4","lu.B","32","",""
"35","3",35,"3.4","lu.B","1","",""
"36","2",36,"2.4","cg.B","1","",""
"37","2",37,"2.5","cg.B","1","",""
"38","6",38,"6.5","lu.B","16","",""
"39","9",39,"9.5","lu.B","32","",""
"40","3",40,"3.5","lu.B","1","",""
"41","8",41,"8.5","cg.B","32","",""
"42","4",42,"4.5","ft.B","16","",""
"43","5",43,"5.5","cg.B","16","",""
"44","7",44,"7.5","ft.B","32","",""
"45","1",45,"1.5","ft.B","1","",""
"46","4",46,"4.6","ft.B","16","",""
"47","5",47,"5.6","cg.B","16","",""
"48","2",48,"2.6","cg.B","1","",""
"49","9",49,"9.6","lu.B","32","",""
"50","3",50,"3.6","lu.B","1","",""
"51","7",51,"7.6","ft.B","32","",""
"52","8",52,"8.6","cg.B","32","",""
"53","6",53,"6.6","lu.B","16","",""
"54","1",54,"1.6","ft.B","1","",""
"55","7",55,"7.7","ft.B","32","",""
"56","1",56,"1.7","ft.B","1","",""
"57","2",57,"2.7","cg.B","1","",""
"58","5",58,"5.7","cg.B","16","",""
"59","4",59,"4.7","ft.B","16","",""
"60","8",60,"8.7","cg.B","32","",""
"61","9",61,"9.7","lu.B","32","",""
"62","6",62,"6.7","lu.B","16","",""
"63","3",63,"3.7","lu.B","1","",""
"64","8",64,"8.8","cg.B","32","",""
"65","7",65,"7.8","ft.B","32","",""
"66","5",66,"5.8","cg.B","16","",""
"67","6",67,"6.8","lu.B","16","",""
"68","9",68,"9.8","lu.B","32","",""
"69","1",69,"1.8","ft.B","1","",""
"70","3",70,"3.8","lu.B","1","",""
"71","4",71,"4.8","ft.B","16","",""
"72","2",72,"2.8","cg.B","1","",""
"73","3",73,"3.9","lu.B","1","",""
"74","4",74,"4.9","ft.B","16","",""
"75","5",75,"5.9","cg.B","16","",""
"76","7",76,"7.9","ft.B","32","",""
"77","9",77,"9.9","lu.B","32","",""
