"name","run.no.in.std.order","run.no","run.no.std.rp","versions","threads","sampling","use","tempo"
"1","49",1,"49.1","ft.B","8","200","com",""
"2","54",2,"54.1","lu.B","16","200","com",""
"3","30",3,"30.1","lu.B","32","100","com",""
"4","91",4,"91.1","ft.B","1","150","sem",""
"5","39",5,"39.1","lu.B","16","150","com",""
"6","46",6,"46.1","ft.B","1","200","com",""
"7","111",7,"111.1","lu.B","8","200","sem",""
"8","22",8,"22.1","ft.B","16","100","com",""
"9","58",9,"58.1","ft.B","32","200","com",""
"10","68",10,"68.1","cg.B","16","50","sem",""
"11","84",11,"84.1","lu.B","16","100","sem",""
"12","103",12,"103.1","ft.B","32","150","sem",""
"13","114",13,"114.1","lu.B","16","200","sem",""
"14","47",14,"47.1","cg.B","1","200","com",""
"15","65",15,"65.1","cg.B","8","50","sem",""
"16","69",16,"69.1","lu.B","16","50","sem",""
"17","56",17,"56.1","cg.B","24","200","com",""
"18","117",18,"117.1","lu.B","24","200","sem",""
"19","14",19,"14.1","cg.B","32","50","com",""
"20","25",20,"25.1","ft.B","24","100","com",""
"21","110",21,"110.1","cg.B","8","200","sem",""
"22","7",22,"7.1","ft.B","16","50","com",""
"23","41",23,"41.1","cg.B","24","150","com",""
"24","74",24,"74.1","cg.B","32","50","sem",""
"25","78",25,"78.1","lu.B","1","100","sem",""
"26","43",26,"43.1","ft.B","32","150","com",""
"27","86",27,"86.1","cg.B","24","100","sem",""
"28","119",28,"119.1","cg.B","32","200","sem",""
"29","72",29,"72.1","lu.B","24","50","sem",""
"30","62",30,"62.1","cg.B","1","50","sem",""
"31","61",31,"61.1","ft.B","1","50","sem",""
"32","102",32,"102.1","lu.B","24","150","sem",""
"33","77",33,"77.1","cg.B","1","100","sem",""
"34","6",34,"6.1","lu.B","8","50","com",""
"35","8",35,"8.1","cg.B","16","50","com",""
"36","42",36,"42.1","lu.B","24","150","com",""
"37","12",37,"12.1","lu.B","24","50","com",""
"38","53",38,"53.1","cg.B","16","200","com",""
"39","21",39,"21.1","lu.B","8","100","com",""
"40","118",40,"118.1","ft.B","32","200","sem",""
"41","40",41,"40.1","ft.B","24","150","com",""
"42","63",42,"63.1","lu.B","1","50","sem",""
"43","75",43,"75.1","lu.B","32","50","sem",""
"44","105",44,"105.1","lu.B","32","150","sem",""
"45","50",45,"50.1","cg.B","8","200","com",""
"46","81",46,"81.1","lu.B","8","100","sem",""
"47","45",47,"45.1","lu.B","32","150","com",""
"48","15",48,"15.1","lu.B","32","50","com",""
"49","95",49,"95.1","cg.B","8","150","sem",""
"50","38",50,"38.1","cg.B","16","150","com",""
"51","101",51,"101.1","cg.B","24","150","sem",""
"52","107",52,"107.1","cg.B","1","200","sem",""
"53","115",53,"115.1","ft.B","24","200","sem",""
"54","82",54,"82.1","ft.B","16","100","sem",""
"55","76",55,"76.1","ft.B","1","100","sem",""
"56","1",56,"1.1","ft.B","1","50","com",""
"57","17",57,"17.1","cg.B","1","100","com",""
"58","66",58,"66.1","lu.B","8","50","sem",""
"59","79",59,"79.1","ft.B","8","100","sem",""
