"name","run.no.in.std.order","run.no","run.no.std.rp","versions","threads","sampling","use","tempo"
"1","49",1,"49.1",ft.B,8,200,com,7.54
"2","54",2,"54.1",lu.B,16,200,com,40.18
"3","30",3,"30.1",lu.B,32,100,com,41.14
"4","91",4,"91.1",ft.B,1,150,sem,7.78
"5","39",5,"39.1",lu.B,16,150,com,44.20
"6","46",6,"46.1",ft.B,1,200,com,7.74
"7","111",7,"111.1",lu.B,8,200,sem,37.57
"8","22",8,"22.1",ft.B,16,100,com,7.97
"9","58",9,"58.1",ft.B,32,200,com,7.66
"10","68",10,"68.1",cg.B,16,50,sem,26.99
"11","84",11,"84.1",lu.B,16,100,sem,39.93
"12","103",12,"103.1",ft.B,32,150,sem,7.89
"13","114",13,"114.1",lu.B,16,200,sem,44.32
"14","47",14,"47.1",cg.B,1,200,com,25.03
"15","65",15,"65.1",cg.B,8,50,sem,23.35
"16","69",16,"69.1",lu.B,16,50,sem,33.64
"17","56",17,"56.1",cg.B,24,200,com,27.05
"18","117",18,"117.1",lu.B,24,200,sem,34.06
"19","14",19,"14.1",cg.B,32,50,com,29.40
"20","25",20,"25.1",ft.B,24,100,com,8.41
"21","110",21,"110.1",cg.B,8,200,sem,24.65
"22","7",22,"7.1",ft.B,16,50,com,8.76
"23","41",23,"41.1",cg.B,24,150,com,24.26
"24","74",24,"74.1",cg.B,32,50,sem,24.61
"25","78",25,"78.1",lu.B,1,100,sem,39.47
"26","43",26,"43.1",ft.B,32,150,com,7.74
"27","86",27,"86.1",cg.B,24,100,sem,22.63
"28","119",28,"119.1",cg.B,32,200,sem,22.51
"29","72",29,"72.1",lu.B,24,50,sem,37.20
"30","62",30,"62.1",cg.B,1,50,sem,28.09
"31","61",31,"61.1",ft.B,1,50,sem,7.80
"32","102",32,"102.1",lu.B,24,150,sem,43.53
"33","77",33,"77.1",cg.B,1,100,sem,24.14
"34","6",34,"6.1",lu.B,8,50,com,42.35
"35","8",35,"8.1",cg.B,16,50,com,24.15
"36","42",36,"42.1",lu.B,24,150,com,36.08
"37","12",37,"12.1",lu.B,24,50,com,39.25
"38","53",38,"53.1",cg.B,16,200,com,22.65
"39","21",39,"21.1",lu.B,8,100,com,39.42
"40","118",40,"118.1",ft.B,32,200,sem,7.95
"41","40",41,"40.1",ft.B,24,150,com,7.64
"42","63",42,"63.1",lu.B,1,50,sem,36.92
"43","75",43,"75.1",lu.B,32,50,sem,38.69
"44","105",44,"105.1",lu.B,32,150,sem,36.31
"45","50",45,"50.1",cg.B,8,200,com,27.80
"46","81",46,"81.1",lu.B,8,100,sem,33.29
"47","45",47,"45.1",lu.B,32,150,com,32.35
"48","15",48,"15.1",lu.B,32,50,com,38.81
"49","95",49,"95.1",cg.B,8,150,sem,24.71
"50","38",50,"38.1",cg.B,16,150,com,28.14
"51","101",51,"101.1",cg.B,24,150,sem,25.82
