"name","run.no.in.std.order","run.no","run.no.std.rp","app","size","timeOfExecution","thread_region","idThread","PAPI_L2_DCH","PAPI_L2_DCA","PAPI_L1_TCM","PAPI_L2_TCM","PAPI_L3_TCM","PAPI_FP_OPS"
"1","5",1,"5.1","continuos_parT","50","","","","","","","","",""
"2","12",2,"12.1","tiling_parT","80","","","","","","","","",""
"3","3",3,"3.1","tiling_par","50","","","","","","","","",""
"4","7",4,"7.1","normal_par","80","","","","","","","","",""
"5","10",5,"10.1","normal_parT","80","","","","","","","","",""
"6","8",6,"8.1","continuos_par","80","","","","","","","","",""
"7","6",7,"6.1","tiling_parT","50","","","","","","","","",""
"8","1",8,"1.1","normal_par","50","","","","","","","","",""
"9","9",9,"9.1","tiling_par","80","","","","","","","","",""
"10","2",10,"2.1","continuos_par","50","","","","","","","","",""
"11","4",11,"4.1","normal_parT","50","","","","","","","","",""
"12","11",12,"11.1","continuos_parT","80","","","","","","","","",""
"13","8",13,"8.2","continuos_par","80","","","","","","","","",""
"14","5",14,"5.2","continuos_parT","50","","","","","","","","",""
"15","7",15,"7.2","normal_par","80","","","","","","","","",""
"16","6",16,"6.2","tiling_parT","50","","","","","","","","",""
"17","11",17,"11.2","continuos_parT","80","","","","","","","","",""
"18","10",18,"10.2","normal_parT","80","","","","","","","","",""
"19","1",19,"1.2","normal_par","50","","","","","","","","",""
"20","2",20,"2.2","continuos_par","50","","","","","","","","",""
"21","4",21,"4.2","normal_parT","50","","","","","","","","",""
"22","9",22,"9.2","tiling_par","80","","","","","","","","",""
"23","3",23,"3.2","tiling_par","50","","","","","","","","",""
"24","12",24,"12.2","tiling_parT","80","","","","","","","","",""
"25","10",25,"10.3","normal_parT","80","","","","","","","","",""
"26","5",26,"5.3","continuos_parT","50","","","","","","","","",""
"27","12",27,"12.3","tiling_parT","80","","","","","","","","",""
"28","6",28,"6.3","tiling_parT","50","","","","","","","","",""
"29","7",29,"7.3","normal_par","80","","","","","","","","",""
"30","11",30,"11.3","continuos_parT","80","","","","","","","","",""
"31","8",31,"8.3","continuos_par","80","","","","","","","","",""
"32","1",32,"1.3","normal_par","50","","","","","","","","",""
"33","4",33,"4.3","normal_parT","50","","","","","","","","",""
"34","9",34,"9.3","tiling_par","80","","","","","","","","",""
"35","3",35,"3.3","tiling_par","50","","","","","","","","",""
"36","2",36,"2.3","continuos_par","50","","","","","","","","",""
"37","2",37,"2.4","continuos_par","50","","","","","","","","",""
"38","7",38,"7.4","normal_par","80","","","","","","","","",""
"39","3",39,"3.4","tiling_par","50","","","","","","","","",""
"40","4",40,"4.4","normal_parT","50","","","","","","","","",""
"41","9",41,"9.4","tiling_par","80","","","","","","","","",""
"42","6",42,"6.4","tiling_parT","50","","","","","","","","",""
"43","11",43,"11.4","continuos_parT","80","","","","","","","","",""
"44","5",44,"5.4","continuos_parT","50","","","","","","","","",""
"45","10",45,"10.4","normal_parT","80","","","","","","","","",""
"46","12",46,"12.4","tiling_parT","80","","","","","","","","",""
"47","8",47,"8.4","continuos_par","80","","","","","","","","",""
"48","1",48,"1.4","normal_par","50","","","","","","","","",""
"49","8",49,"8.5","continuos_par","80","","","","","","","","",""
"50","6",50,"6.5","tiling_parT","50","","","","","","","","",""
"51","4",51,"4.5","normal_parT","50","","","","","","","","",""
"52","7",52,"7.5","normal_par","80","","","","","","","","",""
"53","11",53,"11.5","continuos_parT","80","","","","","","","","",""
"54","3",54,"3.5","tiling_par","50","","","","","","","","",""
"55","5",55,"5.5","continuos_parT","50","","","","","","","","",""
"56","1",56,"1.5","normal_par","50","","","","","","","","",""
"57","2",57,"2.5","continuos_par","50","","","","","","","","",""
"58","9",58,"9.5","tiling_par","80","","","","","","","","",""
"59","10",59,"10.5","normal_parT","80","","","","","","","","",""
"60","12",60,"12.5","tiling_parT","80","","","","","","","","",""
