"name","run.no.in.std.order","run.no","run.no.std.rp","governors","threads","time","cpuenergy"
"1","3",1,"3.1","powersave","16","",""
"2","6",2,"6.1","performance","32","",""
"3","2",3,"2.1","performance","1","",""
"4","5",4,"5.1","powersave","32","",""
"5","1",5,"1.1","powersave","1","",""
"6","4",6,"4.1","performance","16","",""
"7","6",7,"6.2","performance","32","",""
"8","1",8,"1.2","powersave","1","",""
"9","3",9,"3.2","powersave","16","",""
"10","2",10,"2.2","performance","1","",""
"11","4",11,"4.2","performance","16","",""
"12","5",12,"5.2","powersave","32","",""
"13","4",13,"4.3","performance","16","",""
"14","3",14,"3.3","powersave","16","",""
"15","5",15,"5.3","powersave","32","",""
"16","2",16,"2.3","performance","1","",""
"17","6",17,"6.3","performance","32","",""
"18","1",18,"1.3","powersave","1","",""
"19","1",19,"1.4","powersave","1","",""
"20","2",20,"2.4","performance","1","",""
"21","4",21,"4.4","performance","16","",""
"22","6",22,"6.4","performance","32","",""
"23","3",23,"3.4","powersave","16","",""
"24","5",24,"5.4","powersave","32","",""
"25","5",25,"5.5","powersave","32","",""
"26","3",26,"3.5","powersave","16","",""
"27","4",27,"4.5","performance","16","",""
"28","2",28,"2.5","performance","1","",""
"29","6",29,"6.5","performance","32","",""
"30","1",30,"1.5","powersave","1","",""
"31","5",31,"5.6","powersave","32","",""
"32","1",32,"1.6","powersave","1","",""
"33","4",33,"4.6","performance","16","",""
"34","6",34,"6.6","performance","32","",""
"35","3",35,"3.6","powersave","16","",""
"36","2",36,"2.6","performance","1","",""
"37","1",37,"1.7","powersave","1","",""
"38","4",38,"4.7","performance","16","",""
"39","2",39,"2.7","performance","1","",""
"40","5",40,"5.7","powersave","32","",""
"41","6",41,"6.7","performance","32","",""
"42","3",42,"3.7","powersave","16","",""
"43","6",43,"6.8","performance","32","",""
"44","5",44,"5.8","powersave","32","",""
"45","3",45,"3.8","powersave","16","",""
"46","2",46,"2.8","performance","1","",""
"47","4",47,"4.8","performance","16","",""
"48","1",48,"1.8","powersave","1","",""
"49","4",49,"4.9","performance","16","",""
"50","3",50,"3.9","powersave","16","",""
"51","2",51,"2.9","performance","1","",""
"52","5",52,"5.9","powersave","32","",""
"53","6",53,"6.9","performance","32","",""
"54","1",54,"1.9","powersave","1","",""
"55","5",55,"5.10","powersave","32","",""
"56","1",56,"1.10","powersave","1","",""
"57","2",57,"2.10","performance","1","",""
"58","3",58,"3.10","powersave","16","",""
"59","4",59,"4.10","performance","16","",""
"60","6",60,"6.10","performance","32","",""
"61","3",61,"3.11","powersave","16","",""
"62","1",62,"1.11","powersave","1","",""
"63","4",63,"4.11","performance","16","",""
"64","6",64,"6.11","performance","32","",""
"65","2",65,"2.11","performance","1","",""
"66","5",66,"5.11","powersave","32","",""
"67","6",67,"6.12","performance","32","",""
"68","5",68,"5.12","powersave","32","",""
"69","1",69,"1.12","powersave","1","",""
"70","3",70,"3.12","powersave","16","",""
"71","4",71,"4.12","performance","16","",""
"72","2",72,"2.12","performance","1","",""
"73","2",73,"2.13","performance","1","",""
"74","3",74,"3.13","powersave","16","",""
"75","5",75,"5.13","powersave","32","",""
"76","4",76,"4.13","performance","16","",""
"77","6",77,"6.13","performance","32","",""
"78","1",78,"1.13","powersave","1","",""
"79","5",79,"5.14","powersave","32","",""
"80","3",80,"3.14","powersave","16","",""
"81","6",81,"6.14","performance","32","",""
"82","1",82,"1.14","powersave","1","",""
"83","4",83,"4.14","performance","16","",""
"84","2",84,"2.14","performance","1","",""
"85","1",85,"1.15","powersave","1","",""
"86","2",86,"2.15","performance","1","",""
"87","3",87,"3.15","powersave","16","",""
"88","5",88,"5.15","powersave","32","",""
"89","4",89,"4.15","performance","16","",""
"90","6",90,"6.15","performance","32","",""
"91","4",91,"4.16","performance","16","",""
"92","3",92,"3.16","powersave","16","",""
"93","5",93,"5.16","powersave","32","",""
"94","6",94,"6.16","performance","32","",""
"95","2",95,"2.16","performance","1","",""
"96","1",96,"1.16","powersave","1","",""
"97","5",97,"5.17","powersave","32","",""
"98","2",98,"2.17","performance","1","",""
"99","4",99,"4.17","performance","16","",""
"100","1",100,"1.17","powersave","1","",""
"101","3",101,"3.17","powersave","16","",""
"102","6",102,"6.17","performance","32","",""
"103","2",103,"2.18","performance","1","",""
"104","5",104,"5.18","powersave","32","",""
"105","6",105,"6.18","performance","32","",""
"106","1",106,"1.18","powersave","1","",""
"107","4",107,"4.18","performance","16","",""
"108","3",108,"3.18","powersave","16","",""
"109","2",109,"2.19","performance","1","",""
"110","1",110,"1.19","powersave","1","",""
"111","5",111,"5.19","powersave","32","",""
"112","4",112,"4.19","performance","16","",""
"113","3",113,"3.19","powersave","16","",""
"114","6",114,"6.19","performance","32","",""
"115","5",115,"5.20","powersave","32","",""
"116","3",116,"3.20","powersave","16","",""
"117","1",117,"1.20","powersave","1","",""
"118","2",118,"2.20","performance","1","",""
"119","4",119,"4.20","performance","16","",""
"120","6",120,"6.20","performance","32","",""
