region,file,codeline,thread,metric,value
omp_parallel_,ft.f,190,8,PAPI_L2_TCA,48980
omp_parallel_,ft.f,190,9,PAPI_L2_DCM,5337
omp_parallel_,ft.f,190,10,PAPI_L2_ICM,9033
omp_do_,ft.f,190,8,PAPI_L2_TCA,1111
omp_do_,ft.f,190,9,PAPI_L2_DCM,152
omp_do_,ft.f,190,10,PAPI_L2_ICM,395
omp_parallel_,ft.f,190,8,PAPI_L2_TCA,1781
omp_parallel_,ft.f,190,9,PAPI_L2_DCM,194
omp_parallel_,ft.f,190,10,PAPI_L2_ICM,579
omp_do_,ft.f,190,8,PAPI_L2_TCA,1095
omp_do_,ft.f,190,9,PAPI_L2_DCM,121
omp_do_,ft.f,190,10,PAPI_L2_ICM,368
omp_parallel_,ft.f,190,8,PAPI_L2_TCA,1632
omp_parallel_,ft.f,190,9,PAPI_L2_DCM,164
omp_parallel_,ft.f,190,10,PAPI_L2_ICM,558
omp_do_,ft.f,190,8,PAPI_L2_TCA,1013
omp_do_,ft.f,190,9,PAPI_L2_DCM,118
omp_do_,ft.f,190,10,PAPI_L2_ICM,350
omp_parallel_,ft.f,190,8,PAPI_L2_TCA,1071
omp_parallel_,ft.f,190,9,PAPI_L2_DCM,121
omp_parallel_,ft.f,190,10,PAPI_L2_ICM,363
omp_parallel_,ft.f,190,8,PAPI_L2_TCA,1562
omp_parallel_,ft.f,190,9,PAPI_L2_DCM,162
omp_parallel_,ft.f,190,10,PAPI_L2_ICM,535
omp_do_,ft.f,190,8,PAPI_L2_TCA,1618
omp_do_,ft.f,190,9,PAPI_L2_DCM,163
omp_do_,ft.f,190,10,PAPI_L2_ICM,561
omp_do_,ft.f,190,8,PAPI_L2_TCA,55975
omp_do_,ft.f,190,9,PAPI_L2_DCM,15612
omp_do_,ft.f,190,10,PAPI_L2_ICM,777
omp_implicit_barrier_,ft.f,200,8,PAPI_L2_TCA,56670
omp_implicit_barrier_,ft.f,200,9,PAPI_L2_DCM,16379
omp_implicit_barrier_,ft.f,200,10,PAPI_L2_ICM,760
omp_implicit_barrier_,ft.f,200,8,PAPI_L2_TCA,63863
omp_implicit_barrier_,ft.f,200,9,PAPI_L2_DCM,18119
omp_implicit_barrier_,ft.f,200,10,PAPI_L2_ICM,720
omp_implicit_barrier_,ft.f,200,8,PAPI_L2_TCA,141076
omp_implicit_barrier_,ft.f,200,9,PAPI_L2_DCM,32370
omp_implicit_barrier_,ft.f,200,10,PAPI_L2_ICM,724
omp_implicit_barrier_,ft.f,200,8,PAPI_L2_TCA,203218
omp_implicit_barrier_,ft.f,200,9,PAPI_L2_DCM,39691
omp_implicit_barrier_,ft.f,200,10,PAPI_L2_ICM,9346
omp_implicit_barrier_,ft.f,200,8,PAPI_L2_TCA,1261
omp_implicit_barrier_,ft.f,200,9,PAPI_L2_DCM,161
omp_implicit_barrier_,ft.f,200,10,PAPI_L2_ICM,457
omp_parallel_,ft.f,190,8,PAPI_L2_TCA,1810
omp_parallel_,ft.f,190,9,PAPI_L2_DCM,202
omp_parallel_,ft.f,190,10,PAPI_L2_ICM,643
omp_do_,ft.f,190,8,PAPI_L2_TCA,1271
omp_do_,ft.f,190,9,PAPI_L2_DCM,162
omp_do_,ft.f,190,10,PAPI_L2_ICM,471
omp_parallel_,ft.f,190,8,PAPI_L2_TCA,1826
omp_parallel_,ft.f,190,9,PAPI_L2_DCM,201
omp_parallel_,ft.f,190,10,PAPI_L2_ICM,660
omp_do_,ft.f,190,8,PAPI_L2_TCA,1253
omp_do_,ft.f,190,9,PAPI_L2_DCM,163
omp_do_,ft.f,190,10,PAPI_L2_ICM,472
