"name","run.no.in.std.order","run.no","run.no.std.rp","versions","threads","time"
"name","run.no.in.std.order","run.no","run.no.std.rp","versions","threads","time"
"1","6",1,"6.1",mg.B,1,11.13
"2","14",2,"14.1",sp.B,32,57.12
"3","4",3,"4.1",is.B,1,
"4","9",4,"9.1",cg.B,32,22.09
"5","12",5,"12.1",lu.B,32,34.68
"6","10",6,"10.1",ft.B,32,7.51
"7","8",7,"8.1",bt.B,32,35.60
"8","2",8,"2.1",cg.B,1,109.66
"9","11",9,"11.1",is.B,32,
"10","13",10,"13.1",mg.B,32,3.89
"11","5",11,"5.1",lu.B,1,210.53
"12","3",12,"3.1",ft.B,1,70.28
"13","7",13,"7.1",sp.B,1,207.78
"14","1",14,"1.1",bt.B,1,261.66
"15","9",15,"9.2",cg.B,32,28.12
"16","14",16,"14.2",sp.B,32,67.65
"17","7",17,"7.2",sp.B,1,207.86
"18","10",18,"10.2",ft.B,32,7.47
"19","2",19,"2.2",cg.B,1,109.75
"20","3",20,"3.2",ft.B,1,70.70
"21","12",21,"12.2",lu.B,32,38.75
"22","1",22,"1.2",bt.B,1,261.22
"23","13",23,"13.2",mg.B,32,3.68
"24","4",24,"4.2",is.B,1,
"25","5",25,"5.2",lu.B,1,210.51
"26","11",26,"11.2",is.B,32,
"27","6",27,"6.2",mg.B,1,11.10
"28","8",28,"8.2",bt.B,32,36.28
"29","11",29,"11.3",is.B,32,
"30","9",30,"9.3",cg.B,32,23.77
"31","13",31,"13.3",mg.B,32,3.84
"32","2",32,"2.3",cg.B,1,109.42
"33","12",33,"12.3",lu.B,32,37.51
"34","1",34,"1.3",bt.B,1,261.79
"35","10",35,"10.3",ft.B,32,7.50
"36","4",36,"4.3",is.B,1,
"37","8",37,"8.3",bt.B,32,34.97
"38","7",38,"7.3",sp.B,1,207.98
"39","14",39,"14.3",sp.B,32,52.90
"40","5",40,"5.3",lu.B,1,210.68
"41","6",41,"6.3",mg.B,1,11.13
"42","3",42,"3.3",ft.B,1,70.23
"43","14",43,"14.4",sp.B,32,52.72
"44","12",44,"12.4",lu.B,32,39.21
"45","8",45,"8.4",bt.B,32,35.54
"46","5",46,"5.4",lu.B,1,210.47
"47","7",47,"7.4",sp.B,1,207.93
"48","2",48,"2.4",cg.B,1,109.40
"49","11",49,"11.4",is.B,32,
"50","4",50,"4.4",is.B,1,
"51","3",51,"3.4",ft.B,1,70.38
"52","10",52,"10.4",ft.B,32,7.59
"53","6",53,"6.4",mg.B,1,11.11
"54","1",54,"1.4",bt.B,1,261.27
"55","9",55,"9.4",cg.B,32,22.06
"56","13",56,"13.4",mg.B,32,4.29
"57","4",57,"4.5",is.B,1,
"58","11",58,"11.5",is.B,32,
"59","10",59,"10.5",ft.B,32,7.79
"60","2",60,"2.5",cg.B,1,109.63
"61","14",61,"14.5",sp.B,32,53.50
"62","13",62,"13.5",mg.B,32,4.02
"63","8",63,"8.5",bt.B,32,36.04
"64","6",64,"6.5",mg.B,1,11.10
"65","5",65,"5.5",lu.B,1,210.59
"66","12",66,"12.5",lu.B,32,40.36
"67","7",67,"7.5",sp.B,1,207.51
"68","3",68,"3.5",ft.B,1,70.18
"69","1",69,"1.5",bt.B,1,261.39
"70","9",70,"9.5",cg.B,32,21.24
"71","5",71,"5.6",lu.B,1,210.44
"72","7",72,"7.6",sp.B,1,208.06
"73","4",73,"4.6",is.B,1,
"74","6",74,"6.6",mg.B,1,11.14
"75","11",75,"11.6",is.B,32,
"76","8",76,"8.6",bt.B,32,35.34
