Messages, Size, Comm, Latency, Bandwidth
1024, 256, intra-node, 0.033145, 7723.638558
1024, 512, intra-node, 0.065909, 7768.286577
1, 128, intra-node, 0.039777, 3.142520
1, 256, intra-node, 0.078372, 3.189915
1024, 256, inter-node, 2.531589, 101.122260
1024, 8, intra-node, 0.002226, 3593.890386
1, 1024, intra-node, 0.312471, 3.200297
1, 2, inter-node, 0.018269, 0.106909
1, 128, inter-node, 1.142560, 0.109403
1024, 1, inter-node, 0.009558, 104.624398
1024, 128, inter-node, 1.365131, 93.763895
1, 4, intra-node, 0.001780, 2.194522
1, 16, intra-node, 0.005240, 2.981870
1, 8, inter-node, 0.072062, 0.108414
1, 2, intra-node, 0.000994, 1.964914
1024, 64, intra-node, 0.010025, 6384.039900
1024, 2, inter-node, 0.018320, 109.170306
1, 1024, inter-node, 9.136162, 0.109455
1024, 32, inter-node, 0.286151, 111.829069
1024, 1024, inter-node, 9.315036, 109.929795
1024, 1, intra-node, 0.003449, 289.939113
1024, 2, intra-node, 0.003571, 560.067208
1, 8, intra-node, 0.002894, 2.699551
1024, 32, intra-node, 0.006339, 5048.114845
1, 512, intra-node, 0.156122, 3.202624
1024, 1024, intra-node, 0.128551, 7965.710107
1024, 512, inter-node, 4.802773, 106.605080
1, 64, inter-node, 0.571685, 0.109326
1, 4, inter-node, 0.036199, 0.107910
1, 256, inter-node, 2.284983, 0.109410
1, 32, intra-node, 0.010187, 3.067635
1, 64, intra-node, 0.019993, 3.126094
1024, 8, inter-node, 0.071917, 111.239345
1, 1, intra-node, 0.000512, 1.907349
1, 1, inter-node, 0.010290, 0.094904
1, 16, inter-node, 0.145062, 0.107713
1024, 16, intra-node, 0.003736, 4282.655246
1, 512, inter-node, 4.569133, 0.109430
1024, 4, inter-node, 0.036254, 110.332653
1024, 16, inter-node, 0.143295, 111.657769
1024, 128, intra-node, 0.017100, 7485.380117
1024, 4, intra-node, 0.001593, 2510.985562
1, 32, inter-node, 0.286141, 0.109212
1024, 64, inter-node, 0.776658, 82.404353
1024, 4, inter-node, 0.036236, 110.387460
1024, 256, intra-node, 0.033503, 7641.106767
1, 8, inter-node, 0.071849, 0.108735
1024, 32, inter-node, 0.286484, 111.699083
